benchmark,method_key,async_slowdown_pct,jfr_slowdown_pct,method_median_notools_95pct,prog_slowdown_pct
LoopBenchmarks,Harness::main,0.4983564465386623,0.0,,82.52044538316134
LoopBenchmarks,LoopBenchmarks::base64EncodeLoop,-3.443717364002908,102.62008733624455,99.6113989637306,82.52044538316134
LoopBenchmarks,LoopBenchmarks::blurLoop,70.72036265200016,102.73972602739727,98.0985915492958,82.52044538316134
LoopBenchmarks,LoopBenchmarks::bubbleSortLoop,118.13669543285637,114.20454545454545,106.55448294004373,82.52044538316134
LoopBenchmarks,LoopBenchmarks::crc32Loop,92.14797931638643,102.5164113785558,100.0,82.52044538316134
LoopBenchmarks,LoopBenchmarks::editDistanceLoop,107.65207430126816,105.06535947712419,109.81722275615522,82.52044538316134
LoopBenchmarks,LoopBenchmarks::histogramLoop,64.16591709455894,66.66666666666666,95.95375722543355,82.52044538316134
LoopBenchmarks,LoopBenchmarks::main,-100.0,11.11111111111111,0.7915567282321848,82.52044538316134
LoopBenchmarks,LoopBenchmarks::mandelbrotLoop,-26.11345820410755,-2.185792349726776,,82.52044538316134
LoopBenchmarks,LoopBenchmarks::matrixMultiplyLoop,129.40073340277092,124.5791245791246,118.52859314904748,82.52044538316134
LoopBenchmarks,LoopBenchmarks::monteCarloPiLoop,31.602902264898237,98.51063829787235,105.61850522966523,82.52044538316134
LoopBenchmarks,LoopBenchmarks::parseJsonLoop,61.54078638930252,71.21951219512195,99.85380116959062,82.52044538316134
LoopBenchmarks,LoopBenchmarks::polynomialLoop,0.021017066389986298,-0.6825938566552902,,82.52044538316134
LoopBenchmarks,LoopBenchmarks::raySphereLoop,-61.45797346231111,100.86206896551724,97.88269962171034,82.52044538316134
LoopBenchmarks,LoopBenchmarks::sieveLoop,89.6680419514346,92.55952380952381,103.15351894818252,82.52044538316134
LoopBenchmarks,java.lang.String::substring,0.0,-100.0,,82.52044538316134
LoopBenchmarks,java.lang.invoke.MethodType::makeImpl,0.0,-100.0,,82.52044538316134
LoopBenchmarks,java.util.regex.Pattern$BmpCharPropertyGreedy::match,0.0,0.0,,82.52044538316134
LoopBenchmarks,jdk.internal.classfile.impl.DirectClassBuilder::withMethod,0.0,-100.0,,82.52044538316134
LoopBenchmarks,jdk.internal.classfile.impl.SplitConstantPool::maybeCloneUtf8Entry,0.0,-100.0,,82.52044538316134
LoopBenchmarks,jdk.jfr.internal.PlatformRecorder::periodicTask,0.0,0.0,,82.52044538316134
LoopBenchmarks,jdk.jfr.internal.consumer.EventLog::update,0.0,0.0,,82.52044538316134
LoopBenchmarks,jdk.jfr.internal.periodic.PeriodicEvents::doPeriodic,0.0,0.0,,82.52044538316134
