comp_id,loop_id,samples,percentage,total_samples
140,0,6909,0.052768,13093274
140,1,5630,0.042999,13093274
142,1,1281,0.009784,13093274
145,1,12855,0.098180,13093274
145,2,17709,0.135253,13093274
145,3,3496,0.026701,13093274
158,0,171,0.001306,13093274
158,5,8126,0.062062,13093274
158,6,11832,0.090367,13093274
158,9,2098,0.016023,13093274
159,0,118284,0.903395,13093274
159,1,470,0.003590,13093274
159,2,4242074,32.398879,13093274
159,3,6214195,47.460971,13093274
159,4,1181674,9.025046,13093274
159,5,9916,0.075734,13093274
