benchmark,comp_id,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_noBubo_pct
Storage,52,0,0,238640,258344,8.25678846798525,4.517684273248162e-05,571850497676,37.77960559311494
Storage,57,0,0,6956,7822,12.449683726279472,1.3678400266833032e-06,571850497676,37.77960559311494
Storage,58,0,0,3280,3042,-7.2560975609756095,5.319572182524429e-07,571850497676,37.77960559311494
Storage,84,0,0,390,410,5.128205128205128,7.169706097419512e-08,571850497676,37.77960559311494
Storage,84,1,0,288,24,-91.66666666666666,4.1969011301967885e-09,571850497676,37.77960559311494
Storage,84,2,0,98,114,16.3265306122449,1.993528036843474e-08,571850497676,37.77960559311494
Storage,85,0,0,81114,81870,0.9320215992307124,1.4316678980383792e-05,571850497676,37.77960559311494
Storage,85,1,0,114332,114560,0.19941923520974003,2.0033208061472666e-05,571850497676,37.77960559311494
Storage,85,2,0,100154,99472,-0.6809513349441859,1.7394756217622288e-05,571850497676,37.77960559311494
Storage,87,0,0,426,360,-15.492957746478872,6.295351695295181e-08,571850497676,37.77960559311494
Storage,88,0,0,11338,11714,3.316281531134239,2.048437493296882e-06,571850497676,37.77960559311494
Storage,138,0,0,19148,21062,9.995822017965322,3.6831304835085307e-06,571850497676,37.77960559311494
Storage,140,1,1,257548,230750,-10.405050708994052,4.0351455658037865e-05,571850497676,37.77960559311494
Storage,140,2,0,12392,12178,-1.7269205939315686,2.12957758181402e-06,571850497676,37.77960559311494
Storage,140,5,0,748,730,-2.406417112299465,1.276557427101523e-07,571850497676,37.77960559311494
Storage,141,1,1,3418,3388,-0.8777062609713282,5.924625428794466e-07,571850497676,37.77960559311494
Storage,141,2,0,1814,1822,0.4410143329658214,3.1861474413410614e-07,571850497676,37.77960559311494
Storage,142,0,2,10736,10776,0.37257824143070045,1.8844086074583578e-06,571850497676,37.77960559311494
Storage,142,1,1,12092,12108,0.13231888852133644,2.1173366201842795e-06,571850497676,37.77960559311494
Storage,142,2,0,15228,15470,1.589177830312582,2.7052525201726794e-06,571850497676,37.77960559311494
Storage,142,5,0,690,728,5.507246376811594,1.2730600094930258e-07,571850497676,37.77960559311494
Storage,143,1,1,346292,334734,-3.3376456862994237,5.853522928813716e-05,571850497676,37.77960559311494
Storage,143,2,0,47590,47976,0.8110947678083631,8.389605359263379e-06,571850497676,37.77960559311494
Storage,177,0,0,4254734454,3945914712,-7.258261246120061,0.6900255797688721,571850497676,37.77960559311494
Storage,177,1,0,33943275142,36511087786,7.565011429385302,6.3847260664073975,571850497676,37.77960559311494
Storage,177,2,0,28633717024,36561140686,27.68562550001961,6.393478861098215,571850497676,37.77960559311494
Storage,177,3,0,35446398926,26227506334,-26.007980701356733,4.586427123975334,571850497676,37.77960559311494
Storage,177,4,0,29137757324,40222294916,38.04183509645047,7.0337081246695385,571850497676,37.77960559311494
Storage,180,0,2,620611151738,847994327604,36.638590078380204,148.28951466340388,571850497676,37.77960559311494
Storage,197,0,49,516237330,704737828,36.51430980398105,0.1232381244510679,571850497676,37.77960559311494
Storage,198,0,49,404302295340,551723192210,36.463037328547856,96.48032037258037,571850497676,37.77960559311494
Storage,205,0,0,49214,37916,-22.956882187995287,6.630404302189224e-06,571850497676,37.77960559311494
Storage,205,1,0,13080,12960,-0.9174311926605505,2.2663266103062655e-06,571850497676,37.77960559311494
Storage,205,2,0,10562,10554,-0.07574323044877863,1.8455872720040373e-06,571850497676,37.77960559311494
Storage,206,0,0,556,636,14.388489208633093,1.1121787995021487e-07,571850497676,37.77960559311494
Storage,207,0,0,4508,4308,-4.436557231588288,7.533437528703234e-07,571850497676,37.77960559311494
