comp_id,method,loop_id,num_blocks_matched,total_normal_time,total_slowdown_time,median_pct_slowdown
197,LoopBenchmarks.parseJsonLoop,0,12,3.295,6.702,103.3990895295903
203,LoopBenchmarks.matrixMultiplyLoop,2,3,3.512,7.904999999999999,125.08542141230066
211,LoopBenchmarks.sieveLoop,2,3,1.894,3.4149999999999996,80.30623020063356
211,LoopBenchmarks.sieveLoop,3,4,1.2,2.5340000000000003,111.1666666666667
211,LoopBenchmarks.sieveLoop,4,2,0.301,0.612,103.32225913621262
217,LoopBenchmarks.histogramLoop,1,6,2.6750000000000003,5.696999999999999,112.97196261682238
222,LoopBenchmarks.crc32Loop,0,18,9.508,18.993000000000002,99.75809844341612
228,LoopBenchmarks.editDistanceLoop,0,1,0.043000000000000003,0.05,16.279069767441857
228,LoopBenchmarks.editDistanceLoop,1,9,0.258,0.32899999999999996,27.51937984496122
228,LoopBenchmarks.editDistanceLoop,2,5,7.624,14.129999999999999,85.33578174186778
228,LoopBenchmarks.editDistanceLoop,3,1,0.013000000000000001,0.016,23.07692307692307
228,LoopBenchmarks.editDistanceLoop,4,2,0.016,0.021,31.250000000000007
228,LoopBenchmarks.editDistanceLoop,5,1,0.047,0.069,46.80851063829788
228,LoopBenchmarks.editDistanceLoop,6,1,0.045,0.057,26.66666666666668
233,LoopBenchmarks.monteCarloPiLoop,0,3,4.764,9.606,101.63727959697732
237,LoopBenchmarks.bubbleSortLoop,1,2,5.319,11.406,114.43880428652005
243,LoopBenchmarks.blurLoop,0,3,0.001,0.002,100.0
243,LoopBenchmarks.blurLoop,1,1,0.023,0.012,-47.826086956521735
243,LoopBenchmarks.blurLoop,2,2,1.55,3.0599999999999996,97.41935483870965
243,LoopBenchmarks.blurLoop,3,1,0.003,0.003,0.0
251,LoopBenchmarks.base64EncodeLoop,1,2,2.2889999999999997,4.603,101.09217999126257
256,LoopBenchmarks.raySphereLoop,0,8,2.351,4.773,103.01999149298169
